attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
document_mask,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",nan,,,nan,,,2733.504056930542,202.68884539580486,0.09820195997858762,5947.999954223633,232.8727242131922,0.14720258351351706
noop,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",3057.6961040496826,721.9858072946447,0.17558020605414512,10203.007698059082,540.9221612573992,0.17131969745867362,4992.640018463135,442.17351581129236,0.10753246979846603,14387.58373260498,383.59693176643896,0.12149199090593343
causal,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",1645.0879573822021,670.9711721605858,0.3263478463816079,5319.808006286621,518.7248269898037,0.3285788114786003,2657.344102859497,421.86993092601904,0.20203289119474122,7739.67981338501,362.1123871239637,0.2258460600627236
alibi,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",6218.592166900635,355.00208582488233,0.08633319207803558,19009.279251098633,290.33362614424374,0.0919538383812725,2777.440071105957,403.62835719929836,0.1932970282905949,8275.360107421875,338.672141927264,0.21122660153874184
sliding_window,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",6024.191856384277,366.45798187925084,0.08911915901732755,18737.152099609375,294.55025747883315,0.09328932074135435,1232.4479818344116,416.3239377975941,0.43561344568953386,4085.440158843994,313.97938592814,0.4278550472012305
document_mask,torch.bfloat16,"(4, 16, 8192, 16, 8192, 128)",nan,,,nan,,,3560.192108154297,310.0413015757861,0.1507982984318026,10387.264251708984,265.6634529371856,0.16828070891836713
noop,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",9036.959648132324,490.4753835420797,0.0594083555646899,24123.615264892578,459.3430753228083,0.07258953107863694,10884.639739990234,407.21662410077863,0.04932371900445478,33718.30368041992,328.63502650385993,0.051933867628604025
causal,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",4535.552024841309,488.62919278575384,0.1183694749965489,12753.34358215332,434.43570512702524,0.1373068880893691,5534.143924713135,403.5885661870956,0.09701065228942866,17659.87205505371,316.1853614631421,0.09915824500545477
alibi,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",16713.695526123047,265.1960628661849,0.0321216161417375,41172.096252441406,269.13897110650333,0.04253176494252859,6637.53604888916,336.49794068113505,0.08088406722700199,18715.167999267578,298.3565538571988,0.09356698908973356
sliding_window,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",16865.34309387207,262.81150788343524,0.03183278923006726,41427.7458190918,267.4781213554072,0.042269302501923796,1521.6319561004639,362.69382889035643,0.3528257341386657,5078.432083129883,271.6815501743736,0.34481546495759535
document_mask,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",nan,,,nan,,,9866.016387939453,224.62998616596263,0.054416178819273894,21126.68800354004,262.2516037966585,0.08288672222103995
noop,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",13526.752471923828,652.8139536008009,0.07937912859931917,39745.601654052734,555.4358465520667,0.08795822024356069,21174.272537231445,417.0368896994744,0.050709738533496404,57059.0705871582,386.8996055187847,0.06126900329825569
